Id,question,answer
78,"Hi Team!

![image|690x388](upload://7NwVAReoRbZrVrAHPHGHOHG5O1h.png)

In rubrics it's been written that reports should be between 8-10 pages long. My mid-term report is of 8 pages. But when I am submitting my report on new software it's saying the minimum pages should be 10 pages. Please look into it. As I already made the report. And it will take time to again revisit the report, structure the report again and elongate the report.
@Ashwin_J 
Thank You!","Thanks for bringing this to our notice.
Am also not aware of the software, however, will pass this info.

Could you kindly mail me the same ashwin@study.iitm.ac.in

Best,
Ashwin J. Baliga, PhD"
79,"Dear Sir @Ashwin_J, in the mid-term submission I don't have any video of the interaction with the business person. We had a few conversations over the phone (haven't recorded them)... after which he finally sent me the data through mail. So I have put a screenshot of the mail which he sent on my student mail id. Is it enough as proof of interaction?","Proof will be needed 

You will lose marks corresponding to that head. This is something we clarified to you in advance. Anybody can send an email and claim business owner, that’s the reason we ask for more tangibles

Best,
Ashwin J. Baliga, PhD"
80,"Hi, 
I have approached a small business for my BDM project. I'll try to outline the problems as told to me by the director of the company. For context, I'm doing the BDM course and project both this term. 
The company has products and services for interiors and furniture for households, offices and educational institutions. They are targeting a small chunk of an existing sizeable market, and wish to continue at the same scale. 
Some of the problems that I can help with, according to them are:
1. Identify what product/service should be the focus area of their organisation.
2. Analyze the contribution of the workforce to the revenue.
3.  See if it's possible to leverage the skillset of their team to get a particular focus area for the organisation. 
They have about 5 years worth of data which I can get.

This is what I've got for now. I'm a little confused about the second requirement, how can I include it for my BDM project? Is it staying on topic for our project requirement? Kindly help me out with this.

Thanks,
Susmitha","Dear Susmitha,

This looks like an interesting project that you can embark upon.  

The second question pertains to value add per employee (read more about it). For instance, if there are two employees on the same role earning 10 lakhs per year and revenue one of the employee brings is about 100 lakhs per year, he is adding more value than another employee bringing 50 lakhs per year (all else remaining the same). 

This project certainly is a good opportunity to work; i strongly recommend you to take the project.  However, final decision lies with you

Rgds
Hari"
81,"In the final submission we have

* Result and findings
* Interpretation
What is difference between these two (with sample example)?

Results and findings was asked in both mid and final, how they are different?","Dear Manish,

This has been clarified in live sessions.

The final submissions should have detailed explanations of What, Why, When, Where and How phenomenon. These concepts tend not to be explained in mid term in much detail. 

The final submission is like a full movie in comparison to mid term which is like a trailer.

What made you draw a particular graph?
What do the trends say?
Based on these trends what do you infer?
What suggestions would you give to business based on your analysis? Why?
What should businesses keep doing and stop doing? Why?

All these are needed in final submission.

Best,
Ashwin, PhD"
82,"Hi @Dr.Aaditya @Ashwin_J,

During the data collection discussion for my BDM project, the company I am talking to is not willing to disclose it's name for my project report. Will it be fine if I keep the company anonymous in the project or use a pseudo-name?

Also, for the proof of originality, will a confirmation mail from the company be sufficient?","No the company name is to be provided and we need details.

The details you share with us doesn’t go out and we are also bound by the non disclosure clause.

Earlier when we permitted students ended up cooking their own data and shared it with us. So we have cancelled the same.

Best,
Ashwin, PhD"
83,"Sir, for the mid-term submission, under the head ""proof of originality"", is a letter from the organization and pictures of me collecting the data in the organization enough, or do I need to put in the actual data collected as well?","For proofs we have mentioned in the live sessions the deliverables.

More the tangibles as evidence (pics, letter from organisation, videos etc) you score more.

Best,
Ashwin"
84,"Both the reports has both these segments in them so to differentiate on both or similar will be accepted?
basically how to do this part?
*Detailed Explanation of Analysis Process/Method* 
*Results and Findings (Graphs and other Pictorial Representation Preferred and with words)*

@Ashwin_J @Dr.Aaditya","Final report is the one that should explain the components in detail

We have explained this in live sessions

Best,
Ashwin"
85,"Hi,  the final report as per rubrics, supposed to be 18-20 pages. Will be helpful if you can clarify the following points:
1. It is supposed to be an extension of the mid term report. some contents will have to be carried forward in the final report e.g.: the initial findings, graphs in basic analysis in the mid term report.is my understanding correct?
2. relevant sections such as exe summary, Detailed Explanation of Analysis Process/Method etc needs to be modified  as per final report.
3.we can add sections relevant to the report but not mentioned in the rubrics, such as comparing findings to some benchmark etc.
4. what if my final report comes out  to be 16 pages instead of 18. will it be rejected?
thanks for your detailed reply.","Hi

The final submission should be 18-20 pages long, if not we reject it.
W.r.t overlap of sections for mid term and final- in mid term the whatever u write is preliminary in nature and for final you explain it in detail.

Hope this clarifies.

Best,
Ashwin"
86,"Respected sir,

The requirements for Proof of originality is mentioned as below:
* 2. Images related to organization along with your images with founder (max-3)
* 3. Recorded video with the founder in the organization.

The problem is that the owner I'm talking to is not comfortable in clicking his own photograph and recording our interview sessions and putting it in a project. He is camera shy and very adamant about the same although I have tried my best to reassure him of his privacy, yet he is not comfortable with the same. 
I cannot record or click pictures with him without his consent. 

Please advise on what to do?","Yea we have had some cases in which owners are not comfortable.

Could you give some evidence on the servicescape?

If no, then we will have to deduct marks corresponding to that head. However, this decision will be made post revisiting other sections of ur report and if convincing we might not be harsh.

However, there will be a penalty.

Best,
Ashwin"
87,"I wish there was a consolidated and brief lecture series consolidating the deliverables of each of the  submission.  The rationale is that even though live sessions are a good source of knowledge. They are lengthy and large in number. My suggestion is to make  20 mins video for each of the submission titling

1. How to make a proposal?
2. How to make your mid-term submission?
3. How to do final submission?

A simple ppt and a lecture on these three topics will help the students on a lot of things. And they can join the live sessions if they have any specific doubts. The rationale to join all live session to gain even the basic fundae of the project is not sitting well with me because of the sheer volume of live sessions and not knowing the **agenda** of the live session.

 I am going to be completely honest, I have never attended any of the live session or watched  recordings of it and did all the submission based on the rubrics. I lost marks because I misinterpreted the rubrics which means that it is ambigous to me. 

Example:

> The results finding is not written properly. you are not supposed to write your plans here. its meant for the major finding in the descriptive section.

I didnt know that results and findings meant findings of descriptive stats

> A detailed explanation of the analysis process is not sufficient. Here, all methodologies must be included. From data gathering, cleaning, and sources to analysis Everything about data analysis must be summed up.

I didnt know that data gathering, cleaning and sources had to  be included in this since I already explained in mid term

and I shouldn't repeat my exec summary. How will my summary change for the project? 

I take full responsibility for my ignorance of live sessions but I will be really happy if you make the above suggested lecture series. There is always a  dynamic and stable component. Make lecture series for the stable component which is the deliverables for each of the session and for the dynamic component which is doubt have live sessions. 

My humble opinion and suggestions

Thank you

Edit: I would like to add that I really enjoyed the process and held it close to my heart. That's why I am a bit disaapointed that I lost marks because i couldn't find an easier source to clear my doubts. Weekly live videos are a very good source, but they shouldn't be the only source.","Dear @Sirius 

If you have not attended any live sessions as you mention, we cannot really help.

Rubrics + 6 documents+ reference books along with weekly live and masterclasses is the best we can do. A lot of time and efforts have been spent in preparing the documents.

As a sample I have given proposal document. You are expected to build on it for mid term and final. Don’t expect read to eat recipes 😉 This is a project and you need to put in efforts.

If you have not attended sessions, then you will not follow anything. We deal with thousands of submissions and cannot do things as per preferences.

As I indicated earlier we teach to swim. And trust that you will do the rest  :slight_smile:

Best,
Ashwin"
88,"this was the reason for the rejection
Dear Aritra, your proposal is evaluated, and the result is rejected because it has not been written in a proper format. We appreciate your hard work. Please follow the rubrics while drafting the proposal. Use a template shared by the team to write the proposal. Please work breakdown structure and Gantt chart.

I wrote the proposal as specified in the sample proposal. I did forgot to include gantt chart but it was not specified to be mandatory.","The WBS and  Gantt chart is mandatory. Mentioned in rubrics and conveyed in live session also.

If you don’t follow the guidelines you get a rejection.

Best,
Ashwin"
89,"1. I don't know how to make a Gantt chart yet, at least not a dynamic and fine tuned one. I wanted to ask the course team if, for the purposes of proposal submission, you would accept a simple Gantt chart, and regardless of the tool used, as long as it conveys the essence of my intended scheduling?
2. What happens if I am not able to adhere to the schedule that I propose now, due to whatever reasons - some possibly even beyond my control. Would that become an issue during the later submissions or viva?
3. I estimate this project to go into the next term. So am I correct in assuming that there is no issue if my proposed scheduling takes leaves tasks for dates beyond this term?

@Ashwin_J @Dr.Aaditya","You can use any tool to make a Gantt Chart. Yes, there will be deviations which could be due to several reasons. You can make one, you believe is your realistic for you. For your other queries, do check the live session orientation. We have covered it there.
Best,
Ashwin"
90,"Respected Sir,
Since my proposal was approved after the midterm submission deadline, I would like to clarify whether I am still eligible to submit my midterm document. If not, could you please guide me on the correct process.As i have used both 6 month cycle. To submit my midterm document  in september do i have to pay again and submit the proposal again even if my proposal is already approved.
@Ashwin_J","Hello Pammi

A payment once made is valid for 2 terms. In your case it’s over. 

If you plan all submissions in a month, it’s practically not possible. At the end submissions volumes are huge, so it’s v difficult for team to meet the timelines. This is why we insist students to plan in advance.

WRT whether an extra month would be given, will decided at the end of August. This will be decided based on the number of pending submissions. 

You need to submit whenever we open mid term submissions next. We keep you posted on the same via emails

Best,
Ashwin"
91,"I have met with a small building material trading business, they have accepted to share purchase and sales data with me for the project.

But they want to perform data anonymization before they hand me the data.
eg.) if their clients name is UltraTech Cement they will replace it with ""COMPANY1"" throughout. and the same with supplier names.
They will keep the rest of the data untouched

Will i be allowed to submit this data and work with this company","The data is only shared with the evals team and is used just for checking purposes only. If you do provide evidence that you have worked with the said firm, then there is no problem.

We can only take a call once we have a look at the same.

Best,
Ashwin"
92,"In the rubric there is a separate line item for 'Organization background'

![image|341x377](upload://vFCx8xSMsKmA4O4sMFJXCmoI0F.png)

Further, in the handwritten document about the executive summary, there is a line item for 'organisational details'.

![image|682x263](upload://jAsJ0a131L7cUBmlrCtC1osoWlg.jpeg)

What is the difference between these two?","In executive summary you give a summary of the report and so indicate for which organization you did it. Only mentioning the name.

But for background you indicate in depth.

Best,
Ashwin"
93,"I wanted to clarify 1 point from the mail which had me slightly confused

![image|690x162](upload://gHfXrL0z24rr5ryRF4GWhiwbCNW.png)

What I'm guessing this means (I'll take the mid-term evaluations as an example) is 

* Prior to the 13th (the resubmission date for mid-terms put on hold), reports will only be quickly glanced through to check if links work, requisite evidence is present, charts are present, etc, as well as the technical aspects coming under *major revision*

* The actual in depth evaluation of ***all*** reports, even the ones for which the above checks were met & which weren't put on hold, will only be done after the hold period i.e. the 13th.

Is this accurate or have I misunderstood something?

____________________","Reports with major revision will not be kept on hold. They r most likely to be rejected since it would require major modifications.

Hold decisions are first sent if the reports r minor meaning we skim it first to see if links (data, proofs etc) work and overall looks good at first glance. It is given only if links do not work. We do not evaluate the reports here and only skim. This is done for all reports.

If you haven’t received hold, it means your report is being evaluated and you will receive either an acceptance/ rejection post checks on the same. 

Hope this clarifies.

Best,
Ashwin"
94,"The business from which I got data has customer retention rate of 52% it's a medical quickcommerce. please classify is it poor, average, good or excellent.

Please help to classify the retention rate.","Depends on what the standards are in comparison to others. One cannot say just by these numbers and this needs benchmarking against competition. Which could be determined by reports/ speaking to these businesses

Best,
Ashwin"
