Id,question,answer
31,What is the criteria for the Proposal to get accepted?,"Based on the provided context, the criteria for the proposal to get accepted are:

1. The proposal includes a declaration statement.
2. The report discusses business problems.
3. Plagiarism is less than 20%.
4. The proposal is 4-5 pages long.
5. All sections of the proposal are included.

If the proposal meets these criteria, it will receive an ""Accept"" with detailed comments.

**Sources:**
1. [BDM Capstone Project- Analysis with Secondary Data.pdf](https://github.com/brpuneet898/bdm-project-flask/blob/main/documents/BDM%20Capstone%20Project-%20Analysis%20with%20Secondary%20Data.pdf), Page Number: 2"
32,"When I ask the business for data, they are reluctant to share. What need to be done in this situation?","According to the provided report and checklist, when a business is reluctant to share data for your project, you should:

1. Do not directly ask for data. They might find it like an attack on their business secrets.
2. Instead, use a ""Business 1st approach"". Understand their working and gaps in their business and try to identify problems through the conversation.
3. Always use a Polite and Professional tone.

Additionally, you should think on the problem, guess the potential dataset required to solve these problems, and then ask for the dataset. The approach should be on ""solving the problem"" through dataset analysis, not just asking for the dataset.

**Sources:**
1. [Master.pdf](https://github.com/brpuneet898/bdm-project-flask/blob/main/documents/Master.pdf), Page Number: 3"
33,"Are we supposed to add the dataset, which is being used, in any of the reports?","Yes, according to the provided context, you are supposed to provide the complete details of the repository from where the secondary data was collected under sub-heading 5.2. This includes explaining why you chose this specific secondary dataset and clearly connecting the dataset to the problem statement and objectives.

**Sources:**
1. [Master.pdf](https://github.com/brpuneet898/bdm-project-flask/blob/main/documents/Master.pdf), Page Number: 37"
34,"Could you kindly differentiate between the content of the Proposal, the Mid-Term, and the Final report?","Based on the additional considerations provided, here's a general outline of what each report should contain:

**Proposal:**

* Introduce the project idea and objectives
* Provide a brief overview of the research question, methodology, and expected outcomes
* Outline the scope and timeline of the project
* Include a rough outline of the expected results and findings

**Mid-Term Report:**

* Builds upon the proposal, showcasing progress in data collection and analysis
* Refines the executive summary, results, and findings from the proposal
* Showcases the progress made in data collection and analysis
* May include preliminary results, observations, and conclusions

**Final Report:**

* A comprehensive report that incorporates the findings from the midterm report
* Includes a detailed executive summary, results, and findings
* Provides a thorough analysis and interpretation of the data
* Draws conclusions and makes recommendations based on the findings
* Includes a clear and concise summary of the project's objectives, scope, and timeline

Keep in mind that these are general guidelines, and the specific requirements may vary depending on the project, instructor, or rubric.

**Sources:**
1. [Master.pdf](https://github.com/brpuneet898/bdm-project-flask/blob/main/documents/Master.pdf), Page Number: 18"
35,what is primary data and secondary data,"According to the given context, primary data are ""data that were originally recorded or 'left behind' or collected at an earlier time by someone other than the current researcher, often for an entirely different purpose from the current research purpose"" (Johnson & Turner, 2003, p. 314). In other words, primary data are data that are collected by the researcher themselves, specifically for the purpose of the current research.

Secondary data, on the other hand, are data that were originally recorded or collected by someone else, often for a different purpose, and are being used by a researcher for their own research purposes.

**Sources:**
1. [Venkatesh_mixedmethods2023_final.pdf](https://github.com/brpuneet898/bdm-project-flask/blob/main/documents/Venkatesh_mixedmethods2023_final.pdf), Page Number: 128"
36,Is viva mandatory for BDM Project?,"According to the document, yes, the viva voce examination is mandatory for the BDM project. It is stated that ""Once the student receives an “Accept” for the proposal and final submission, they will be eligible for the viva voce examination.""

**Sources:**
1. [current_doc.pdf](https://github.com/brpuneet898/bdm-project-flask/blob/main/documents/current_doc.pdf), Page Number: 13"
37,what is the minimum number for slides needed for viva?,"According to the provided resources, the minimum number of slides recommended for a viva presentation is 10 slides, all-inclusive.

**Sources:**
1. [Master.pdf](https://github.com/brpuneet898/bdm-project-flask/blob/main/documents/Master.pdf), Page Number: 26"
38,What is WBS ?,"Based on the provided context, WBS stands for Work Breakdown Structure.

**Sources:**
1. [Proposal format_1.pdf](https://github.com/brpuneet898/bdm-project-flask/blob/main/documents/Proposal%20format_1.pdf), Page Number: 8"
39,Can I take a hint of the proposal from my friend who has completed the BDM project last term?,"No, it's not recommended to use a proposal from a friend who has completed the BDM project last term as a hint or reference.

**Sources:**
1. [current_doc.pdf](https://github.com/brpuneet898/bdm-project-flask/blob/main/documents/current_doc.pdf), Page Number: 8"
40,hi,"Hello. Is there something I can help you with or would you like to ask a question?

**Sources:**
1. [Master.pdf](https://github.com/brpuneet898/bdm-project-flask/blob/main/documents/Master.pdf), Page Number: 37"
41,hi who are you,"I am an artificial intelligence language model, and my role in this conversation is to assist and provide information based on the provided context. I will answer your questions to the best of my knowledge and abilities, and if I don't know the answer to a question, I will say so.

**Sources:**
1. [Design, Implement and Analyzing Survey.pdf](https://github.com/brpuneet898/bdm-project-flask/blob/main/documents/Design,%20Implement%20and%20Analyzing%20Survey.pdf), Page Number: 68"
42,What is the email id of Ashwin sir,"The email ID of Ashwin sir is ashwin@study.iitm.ac.in.

**Sources:**
1. [topic-answer - Copy.csv](http://localhost:5000/documents/topic-answer%20-%20Copy.csv), Page Number: 1"
43,what is bdm project actually,"A Business Data Management (BDM) project is an independent research project where a student reaches out to a business firm, identifies the issues or problems they face, collects primary data, cleans and analyzes the data, and provides novel and valuable insights to the decision-makers. The project is designed to give students hands-on experience in dealing with real-world problems and providing solutions, and it has four stages of submissions: proposal, midterm, final report, and viva voce. The project requires students to apply the knowledge gained from the BDM theory course to a real-world business problem, and to report their findings in a professional manner.

**Sources:**
1. [Short write up BDM Capstone Project.pdf](http://localhost:5000/documents/Short%20write%20up%20BDM%20Capstone%20Project.pdf), Page Number: 1"
